node,UMAP1,UMAP2
472,0.628065,5.375736
473,-3.147415,3.726486
474,-0.461726,0.003548
475,1.441871,-3.623056
476,-0.278591,-0.641653
477,1.616307,-2.671689
478,-3.696952,4.463761
479,-3.829412,4.489905
480,1.207487,-3.512045
481,1.573232,-2.850348
482,2.268216,-3.139234
483,-3.181442,4.533577
484,-3.282802,4.661777
485,2.438402,-4.372321
486,2.020048,-3.991675
487,-0.862668,2.966280
488,0.770946,5.502554
489,-3.879710,4.345931
490,-2.822020,4.362884
491,0.284807,4.731614
492,-1.766255,1.918173
493,0.482074,-2.714016
494,1.636743,-2.886040
495,2.948787,-3.652620
496,0.538138,0.767044
497,0.507995,4.727067
498,-0.319191,2.663138
499,2.046438,-4.127106
500,0.581320,-3.377343
501,-3.384880,4.716841
502,0.561300,-3.537453
503,2.492082,-3.800576
504,-0.731034,2.382381
505,-2.144466,2.912752
506,0.214505,-3.461279
507,0.225004,1.426572
508,3.381214,-3.521696
509,-2.227607,5.099307
510,-0.819199,2.684245
511,-3.457376,4.393151
512,1.524058,-3.097320
513,2.098983,-4.111590
514,1.357537,-3.060571
515,2.909602,-3.145557
516,2.299451,-3.882903
517,1.407550,-3.493658
518,2.780316,-3.245335
519,-0.983020,0.452038
520,1.444902,-1.748243
521,1.345798,-3.030925
522,0.641833,0.238523
523,1.046900,-1.921773
524,1.991581,-3.273635
525,1.318695,-3.816501
526,-3.348236,4.239764
527,1.021026,-1.843936
528,1.964808,-5.777543
529,-4.787236,4.851124
530,3.706235,-7.678242
531,-2.047344,0.683850
532,4.224254,-9.063977
